issn,pages,number,volume,month,year,publisher,title,author,url,doi,ENTRYTYPE,ID,copyright,keywords,eprint,journal,numpages,issue
2045-2322,31196,1,6,8,2016,Scientific Reports,Quantum measurement-induced antiferromagnetic order and density modulations in ultracold Fermi gases in optical lattices,"Mazzucchi, Gabriel and Caballero-Benitez, Santiago F. and Mekhov, Igor B.",https://doi.org/10.1038/srep31196,10.1038/srep31196,article,https://doi.org/10.1038/srep31196,,,,,,
,,,,10,2019,arXiv,Dynamical mean field theory algorithm and experiment on quantum computers,"Rungger, I. and Fitzpatrick, N. and Chen, H. and Alderete, C. H. and Apel, H. and Cowtan, A. and Patterson, A. and Ramo, D. Munoz and Zhu, Y. and Nguyen, N. H. and Grant, E. and Chretien, S. and Wossnig, L. and Linke, N. M. and Duncan, R.",https://arxiv.org/abs/1910.04735,10.48550/ARXIV.1910.04735,article,https://doi.org/10.48550/arxiv.1910.04735,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Strongly Correlated Electrons (cond-mat.str-el), FOS: Physical sciences, FOS: Physical sciences",,,,
,,,,8,2020,arXiv,Momentum-Space Unitary Coupled Cluster and Translational Quantum Subspace Expansion for Periodic Systems on Quantum Computers,"Manrique, David Zsolt and Khan, Irfan T. and Yamamoto, Kentaro and Wichitwechkarn, Vijja and Ramo, David Munoz",https://arxiv.org/abs/2008.08694,10.48550/ARXIV.2008.08694,article,https://doi.org/10.48550/arxiv.2008.08694,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Materials Science (cond-mat.mtrl-sci), Chemical Physics (physics.chem-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
,e26352,4,121,11,2020,,Generalized unitary coupled cluster excitations for multireference molecular states optimized by the quantum eigensolver,"Greene-Diniz, Gabriel and Munoz Ramo, David",https://onlinelibrary.wiley.com/doi/abs/10.1002/qua.26352,https://doi.org/10.1002/qua.26352,article,https://doi.org/10.1002/qua.26352,,"excited states, multireference states, quantum computation, spin symmetry, unitary coupled cluster, VQE algorithm, Variational Quantum Eigensolver",https://onlinelibrary.wiley.com/doi/pdf/10.1002/qua.26352,International Journal of Quantum Chemistry,,
,022403,,104,8,2021,American Physical Society,Evaluating the noise resilience of variational quantum algorithms,"Fontana, Enrico and Fitzpatrick, Nathan and Ramo, David Munoz and Duncan, Ross and Rungger, Ivan",https://link.aps.org/doi/10.1103/PhysRevA.104.022403,10.1103/PhysRevA.104.022403,article,PhysRevA.104.022403,,,,Phys. Rev. A,19,2
,,,,9,2021,arXiv,Quantum hardware calculations of periodic systems with partition-measurement symmetry verification: simplified models of hydrogen chain and iron crystals,"Yamamoto, Kentaro and Manrique, David Zsolt and Khan, Irfan and Sawada, Hideaki and Ramo, David Munoz",https://arxiv.org/abs/2109.08401,10.48550/ARXIV.2109.08401,article,https://doi.org/10.48550/arxiv.2109.08401,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
,,,,10,2021,arXiv,Quantum Computational Quantification of Protein-Ligand Interactions,"Kirsopp, Josh John Mellor and Di Paola, Cono and Manrique, David Zsolt and Krompiec, Michal and Greene-Diniz, Gabriel and Guba, Wolfgang and Meyder, Agnes and Wolf, Detlef and Strahm, Martin and Ramo, David Munoz",https://arxiv.org/abs/2110.08163,10.48550/ARXIV.2110.08163,article,https://doi.org/10.48550/arxiv.2110.08163,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Biological Physics (physics.bio-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
,,,,3,2022,arXiv,Modelling Carbon Capture on Metal-Organic Frameworks with Quantum Computing,"Greene-Diniz, Gabriel and Manrique, David Zsolt and Sennane, Wassil and Magnin, Yann and Shishenina, Elvira and Cordier, Philippe and Llewellyn, Philip and Krompiec, Michal and Rancic, Marko J. and Ramo, David Munoz",https://arxiv.org/abs/2203.15546,10.48550/ARXIV.2203.15546,article,https://doi.org/10.48550/arxiv.2203.15546,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Materials Science (cond-mat.mtrl-sci), Atomic Physics (physics.atom-ph), Chemical Physics (physics.chem-ph), Computational Physics (physics.comp-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
,,,,5,2022,"Quantinuum, Cambridge Quantum",Introduction to the InQuanto Computational Chemistry Platform For Quantum Computers,InQuanto Team,https://medium.com/cambridge-quantum-computing/introduction-to-the-inquanto-computational-chemistry-platform-for-quantum-computers-4fced08d66cc,,article,inquanto:2022,,,,,,
,,,,10,2022,arXiv,Strongly Contracted N-Electron Valence State Perturbation Theory Using Reduced Density Matrices from a Quantum Computer,"Krompiec, Michal and Ramo, David Muñoz",https://arxiv.org/abs/2210.05702,10.48550/ARXIV.2210.05702,article,https://doi.org/10.48550/arxiv.2210.05702,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
,,,,11,2022,arXiv,Variational Phase Estimation with Variational Fast Forwarding,"Filip, Maria-Andreea and Ramo, David Muñoz and Fitzpatrick, Nathan",https://arxiv.org/abs/2211.16097,10.48550/ARXIV.2211.16097,article,https://doi.org/10.48550/arxiv.2211.16097,Creative Commons Zero v1.0 Universal,"Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
